index,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
3519718,259,TRANSFER,282257.58,C1962176177,0,0,C2100844233,1221511.72,1503769.3,0,0
5933168,404,CASH_IN,228184.58,C1259163465,9054989.54,9283174.12,C662685321,1475648.12,1247463.54,0,0
407721,18,CASH_OUT,21967.33,C2007177640,268399.94,246432.61,C1897707634,1025685.74,989087.18,0,0
1889214,164,CASH_OUT,453623.33,C1286140783,0,0,C1807725354,1612785.46,2066408.79,0,0
3797191,281,CASH_OUT,166699.6,C1399376147,6340,0,C1920934726,1091519.08,1258218.69,0,0
5811742,401,CASH_OUT,258750.42,C1743805862,20302,0,C1708613272,0,258750.42,0,0
4907479,349,TRANSFER,770938.56,C60111924,0,0,C1744813930,1124518.45,1895457.01,0,0
2020222,180,CASH_OUT,181452.47,C1270302671,28248,0,C136849882,60916.66,242369.13,0,0
3427465,256,CASH_IN,62492.27,C1160415785,2435669.54,2498161.81,C2105757966,3124397.9,3061905.63,0,0
3956970,288,PAYMENT,8315.76,C942340447,0,0,M1549831802,0,0,0,0
758086,38,CASH_OUT,362413.74,C507727148,1574,0,C327118203,0,362413.74,0,0
1626155,157,CASH_OUT,231937.89,C597724007,0,0,C418352682,758186.4,881816.04,0,0
2106157,183,CASH_OUT,95628.04,C1814709446,8601.97,0,C1064012883,111096.17,206724.2,0,0
4156049,303,CASH_OUT,235514.95,C922729202,0,0,C2087523342,2853412.72,3088927.67,0,0
4521865,326,CASH_IN,49651.65,C1942282176,20744,70395.65,C1312912058,0,0,0,0
5470378,379,CASH_OUT,94882.87,C728952936,0,0,C1594461123,974614.57,1069497.44,0,0
4688162,331,TRANSFER,456469.49,C526590242,12555,0,C1335909567,2782294.99,3238764.48,0,0
4345751,308,CASH_OUT,67119.54,C1691058936,51941,0,C471827128,61908.64,129028.18,0,0
4692304,331,PAYMENT,10035.37,C494131124,45749,35713.63,M243581316,0,0,0,0
2791905,215,CASH_OUT,35745.08,C812641894,29988,0,C1019493900,390304.16,426049.24,0,0
4050787,300,PAYMENT,18138.83,C1158376543,151112.23,132973.41,M1132448878,0,0,0,0
4766516,334,CASH_OUT,216926.71,C1835997754,188242.39,0,C1741103781,1035680.98,1252607.69,0,0
2415399,202,CASH_IN,151629.56,C1100315102,20588,172217.56,C931912711,210148.34,58518.77,0,0
5257150,372,CASH_IN,393390.68,C1949623176,1489512.21,1882902.89,C1445220284,12003222.57,11609831.89,0,0
3201886,249,CASH_OUT,226533.63,C1922053133,11917,0,C1616657205,150158.57,376692.2,0,0
1150817,131,CASH_IN,180185.5,C34700392,11919499.96,12099685.46,C1283262060,7538803.57,7358618.06,0,0
5271678,372,PAYMENT,7400.64,C1915444900,123461.85,116061.21,M575866619,0,0,0,0
1803213,162,CASH_OUT,96223.17,C822048304,33543,0,C1669750759,4749622.94,4845846.11,0,0
5124836,356,TRANSFER,173189,C58569922,58811,0,C122164832,1586927.59,1760116.59,0,0
3711198,277,PAYMENT,986.54,C1686593344,41397,40410.46,M343441368,0,0,0,0
2682374,210,PAYMENT,47156.09,C1293623015,0,0,M974258322,0,0,0,0
4231308,306,CASH_IN,97030.94,C548500666,3328068.86,3425099.8,C982561001,267223.88,170192.94,0,0
1274581,135,CASH_OUT,70036.21,C741081506,18629,0,C540084725,53887.41,123923.63,0,0
333705,16,PAYMENT,3730.55,C146510793,0,0,M212983600,0,0,0,0
702452,37,CASH_OUT,25801.03,C1819061234,10386,0,C1329087220,342882.48,368683.52,0,0
3711242,277,CASH_OUT,134464.65,C197900316,0,0,C409956115,7540080.58,7674545.23,0,0
157970,12,TRANSFER,1504858.64,C991088678,0,0,C1251686742,7457109.66,8296249.14,0,0
3459275,257,PAYMENT,17491.37,C1935320287,241492.62,224001.25,M818113793,0,0,0,0
5189166,369,CASH_IN,476867.64,C220445325,3023,479890.64,C1168610686,0,0,0,0
3864941,283,PAYMENT,8833.88,C1095112861,0,0,M675643461,0,0,0,0
41750,9,TRANSFER,460468.87,C1112533593,0,0,C111210112,2033123.44,2493592.32,0,0
1221424,133,CASH_IN,38910.18,C902213224,2627594.55,2666504.74,C111989495,174944.21,136034.02,0,0
631393,35,CASH_OUT,67392.79,C1416876985,0,0,C717821178,2988190.93,2714078.05,0,0
4664254,330,PAYMENT,16126.9,C409168587,167520,151393.1,M1357940148,0,0,0,0
3638239,275,CASH_OUT,33239.6,C2001912316,25494,0,C497394383,717412.61,750652.21,0,0
3306943,252,CASH_OUT,452825.72,C2055959504,0,0,C403065592,8826879.86,9279705.58,0,0
2585004,207,PAYMENT,11645.37,C1907915528,13352,1706.63,M1416562920,0,0,0,0
2235132,186,CASH_OUT,44731.32,C1358883813,11411,0,C254098478,0,44731.32,0,0
739233,38,TRANSFER,144636.78,C838563045,0,0,C783162920,203612.96,348249.74,0,0
4351524,309,CASH_IN,102890.81,C1449551999,1965137.9,2068028.71,C1005235466,331289.68,228398.87,0,0
2440613,203,CASH_IN,283399.93,C1343119071,31386,314785.93,C2030267007,0,0,0,0
5765827,400,PAYMENT,31245.7,C1968253924,0,0,M1892753138,0,0,0,0
3573201,261,CASH_IN,139062.33,C98406983,53,139115.33,C2097707413,98300.91,0,0,0
133801,11,CASH_OUT,838027.95,C1185712293,420,0,C384735803,320832.01,1158859.96,0,0
2751016,212,PAYMENT,7179.91,C77942199,10795,3615.09,M1061128803,0,0,0,0
6054625,495,PAYMENT,14100.47,C315281835,0,0,M1139704708,0,0,0,0
3576156,261,CASH_OUT,97678.17,C1308246739,41834,0,C520562524,0,97678.17,0,0
1915591,166,PAYMENT,9315.4,C2040634449,0,0,M1510450282,0,0,0,0
3890321,284,CASH_OUT,21541.8,C1767306820,178163,156621.2,C1189573957,3149185.57,3170727.37,0,0
4342935,308,CASH_IN,251049.15,C1516537472,765117.31,1016166.47,C1753226784,5388216.86,5137167.7,0,0
3572210,261,CASH_OUT,124805.23,C1497143634,0,0,C729910941,3519063.89,3643869.12,0,0
3426301,256,PAYMENT,1605.26,C110078935,924,0,M1981151436,0,0,0,0
5513500,380,PAYMENT,4759.11,C347702202,0,0,M2118525822,0,0,0,0
5144786,356,CASH_OUT,51507.36,C1642642841,0,0,C186618226,5015440.11,5066947.47,0,0
1459442,140,PAYMENT,11941.23,C3886399,0,0,M1694100274,0,0,0,0
879760,42,CASH_OUT,39060.82,C617310591,6216,0,C930473481,435635.31,474696.13,0,0
4923411,350,PAYMENT,1919.81,C437045180,98864.15,96944.35,M995713621,0,0,0,0
4531733,326,CASH_OUT,105255.22,C651654906,20470,0,C1875507416,1278632.91,1383888.13,0,0
382472,17,PAYMENT,7634.56,C426830550,11114,3479.44,M288359361,0,0,0,0
6312113,686,CASH_OUT,39539.6,C1897420574,0,0,C387608868,6926451.39,6965990.99,0,0
2583008,207,PAYMENT,8591.59,C1243704373,21608.32,13016.73,M381262849,0,0,0,0
859514,42,PAYMENT,14116.89,C1746101209,124303.02,110186.13,M1600517590,0,0,0,0
5737195,399,CASH_IN,10586.14,C1606910149,55649,66235.14,C1621216942,19913.67,9327.53,0,0
807645,40,CASH_OUT,101542.77,C1132337350,0,0,C1181302258,438529.13,540071.9,0,0
3861183,283,CASH_IN,201655.98,C1863442172,314335.77,515991.74,C121357966,484746.32,283090.34,0,0
1528114,153,CASH_IN,18773.67,C2089060413,157794,176567.67,C76249968,278424.7,259651.03,0,0
2497014,204,CASH_IN,219435.3,C582879743,31747,251182.3,C682831288,295236.93,75801.63,0,0
555182,22,TRANSFER,138912.61,C921904742,134548,0,C2085547260,7858955.31,7997867.92,0,0
1494919,142,PAYMENT,12803.2,C526597420,16897,4093.8,M2037498629,0,0,0,0
1959950,178,CASH_OUT,131881.19,C829822064,0,0,C1929563622,2789425.08,2921306.27,0,0
320800,16,TRANSFER,263567.86,C2113450726,84022.79,0,C40100314,277839.26,541407.12,0,0
5963598,406,TRANSFER,745470.69,C752975148,0,0,C678572366,2987313.73,3732784.42,0,0
2092442,182,PAYMENT,9914.64,C1744196487,0,0,M1991211826,0,0,0,0
3519534,259,PAYMENT,8516.5,C1590955895,0,0,M1285576588,0,0,0,0
556879,22,CASH_IN,54252,C945126657,1532342.96,1586594.96,C1038251278,2029784.32,1975532.32,0,0
4827477,347,CASH_OUT,46015.97,C151911846,27743,0,C1203896601,813487.88,859503.84,0,0
5962037,406,PAYMENT,44298.45,C844523920,185394.21,141095.76,M2022719041,0,0,0,0
5266607,372,CASH_OUT,309082.86,C413104810,22397,0,C592775684,433330.56,742413.42,0,0
416723,18,CASH_OUT,178691.31,C1326079806,90281,0,C454684107,0,178691.31,0,0
1902242,165,PAYMENT,23438.06,C1545119862,0,0,M692618091,0,0,0,0
5379094,376,CASH_IN,113394.85,C1927687560,1180255.45,1293650.3,C1318480769,331532.52,218137.67,0,0
5839288,402,CASH_OUT,51742.33,C797779191,50710,0,C1043532720,139199.14,190941.46,0,0
2336178,189,CASH_OUT,193217.56,C777126621,0,0,C1871491802,1305350.98,1498568.54,0,0
5091477,355,CASH_IN,76914.65,C1950262034,120117,197031.65,C59949392,0,0,0,0
3647177,275,PAYMENT,13070.65,C447763511,0,0,M847096121,0,0,0,0
5428742,378,PAYMENT,12515.2,C367195120,0,0,M1053023833,0,0,0,0
1726966,160,PAYMENT,27938.95,C550722386,19542.18,0,M669712900,0,0,0,0
1128262,131,PAYMENT,5536.86,C1477667346,29760,24223.14,M1722008181,0,0,0,0
5473298,379,CASH_IN,486668.27,C513262494,726641.42,1213309.69,C1959104166,4241635.19,3754966.92,0,0
1408465,139,CASH_OUT,178665.65,C364453537,69435,0,C1023180008,341086.13,519751.79,0,0
3707535,277,PAYMENT,3804.8,C604754319,0,0,M792853334,0,0,0,0
1782223,162,PAYMENT,21908.4,C1588300527,314175.94,292267.53,M1166815005,0,0,0,0
6137135,544,PAYMENT,9300.92,C2104405959,505,0,M419487448,0,0,0,0
5994802,422,TRANSFER,1413837.09,C911850374,31680,0,C192080863,34888.82,1448725.91,0,0
4783438,336,PAYMENT,6937.85,C321554624,51802,44864.15,M675069942,0,0,0,0
436587,18,CASH_OUT,79889.52,C1958149157,10907,0,C648784258,0,79889.52,0,0
5151031,357,PAYMENT,11880.12,C1407771650,20620,8739.88,M745703296,0,0,0,0
1925755,167,CASH_IN,23351.04,C392135705,1103242.07,1126593.11,C1409525422,784116.88,760765.84,0,0
5887828,403,PAYMENT,21824.31,C1413511812,0,0,M721363681,0,0,0,0
656898,35,PAYMENT,23188,C232685889,0,0,M12099158,0,0,0,0
356634,17,CASH_OUT,56250.22,C1156832386,107944,51693.78,C1937607570,396960.99,453211.21,0,0
5528229,381,CASH_IN,190386.56,C154492724,5954698.06,6145084.62,C306569801,400935.83,210549.27,0,0
4675227,331,CASH_IN,161094.96,C1416587602,2766748.97,2927843.93,C2108512691,903165.66,742070.7,0,0
6076994,518,CASH_IN,280214.06,C1649277614,973,281187.06,C1796083180,2033167.97,1752953.91,0,0
4473602,324,PAYMENT,50157.71,C479749193,274,0,M1368285981,0,0,0,0
5156590,357,TRANSFER,84678.83,C641253872,0,0,C1501915775,412130.04,496808.86,0,0
579006,33,PAYMENT,8952.38,C656158108,277382.45,268430.07,M1375261878,0,0,0,0
3212960,249,CASH_OUT,155911.72,C1208509758,0,0,C1932145512,460457.8,616369.53,0,0
639930,35,PAYMENT,15180.99,C166755583,15916,735.01,M162280008,0,0,0,0
5329541,374,CASH_OUT,189921.06,C1318293124,182,0,C1674372940,0,189921.06,0,0
2736427,212,CASH_OUT,234053.31,C885543664,44794,0,C53375181,231378.44,465431.74,0,0
6263226,612,PAYMENT,7027.63,C1459664301,0,0,M1352069170,0,0,0,0
4117998,302,CASH_OUT,94969.4,C1148940982,11630,0,C1415150869,65681.31,160650.7,0,0
2891332,228,PAYMENT,3177.61,C7276065,2248,0,M1307209003,0,0,0,0
4876401,348,PAYMENT,24795.35,C2004417239,0,0,M1650468160,0,0,0,0
2354974,190,PAYMENT,5241.81,C1710865672,0,0,M660267156,0,0,0,0
3981456,298,CASH_OUT,355660.32,C1129254734,0,0,C19724314,1975953.75,2331614.06,0,0
5731102,399,PAYMENT,30871.14,C1702798113,21924,0,M1085608489,0,0,0,0
4669234,331,CASH_OUT,357311.45,C1880760490,0,0,C1095341493,2200856.83,2558168.27,0,0
3719591,278,CASH_OUT,343250.63,C1157379199,0,0,C3890751,507663.2,850913.83,0,0
2712120,211,PAYMENT,17500.72,C959623326,0,0,M1249112569,0,0,0,0
754113,38,CASH_IN,380138.49,C1745699772,1699940.02,2080078.51,C1207952667,2085634.14,1705495.65,0,0
2239624,186,CASH_OUT,12396.75,C1592124434,0,0,C1162812870,3387004.59,3399401.34,0,0
3307934,252,PAYMENT,21464.19,C2029481772,261034.65,239570.46,M372409974,0,0,0,0
843083,41,CASH_OUT,130164.5,C1450812322,0,0,C594703537,870882.64,1001047.13,0,0
5361723,375,CASH_IN,66663.87,C89851658,7481525.72,7548189.59,C2036000156,6598249.64,6531585.78,0,0
4619918,329,CASH_OUT,93482.39,C485524225,9050,0,C354615337,17508.65,110991.04,0,0
5043597,354,CASH_OUT,4487.33,C813692950,0,0,C754452254,302165.64,306652.98,0,0
292358,15,CASH_OUT,185086.93,C527297206,0,0,C1691522742,476687.24,661774.17,0,0
3327284,253,CASH_OUT,47095.64,C831625870,20345,0,C1689603634,0,47095.64,0,0
485979,19,CASH_IN,296327.76,C1315116036,22030821.84,22327149.6,C590771061,8446123.83,8149796.07,0,0
4979236,352,CASH_IN,47238.1,C1013669676,14100426.64,14147664.74,C1915414274,135619.35,88381.25,0,0
184820,13,PAYMENT,6743.45,C1987048145,0,0,M304018102,0,0,0,0
3475240,258,CASH_IN,91285.25,C636624329,581310.5,672595.75,C133799945,870166.32,778881.07,0,0
55242,9,TRANSFER,356151.15,C1698765670,0,0,C1575652054,1046888.04,2897581.7,0,0
4568377,327,CASH_OUT,14474.19,C2015907492,35599,21124.81,C1031472882,18395.91,32870.1,0,0
6209041,587,TRANSFER,71504.33,C966617341,0,0,C932076786,138817.86,210322.18,0,0
608556,34,CASH_OUT,276137.91,C2044908180,0,0,C842174448,13318326.1,13594464.01,0,0
5220269,370,CASH_IN,26004.36,C1476376008,16450832.56,16476836.92,C996925018,1120080.19,1094075.83,0,0
4990332,352,CASH_OUT,79553.45,C136523063,0,0,C1062244425,2253465.75,2333019.2,0,0
5185802,360,CASH_OUT,281279.44,C1650565761,0,0,C1737738281,604459.4,885738.84,0,0
4798515,345,CASH_OUT,486086.06,C1333681671,0,0,C1702768585,1647093.11,2133179.17,0,0
1486029,141,PAYMENT,5521.53,C691830797,20468,14946.47,M1799968918,0,0,0,0
2680599,210,TRANSFER,228764.96,C813137953,18820,0,C472942050,0,228764.96,0,0
3323325,253,PAYMENT,2900.75,C80382416,0,0,M2069356264,0,0,0,0
1904347,165,CASH_IN,53501.69,C906204938,277732,331233.69,C270854039,0,0,0,0
6323528,688,PAYMENT,21284.75,C1503449278,21326,41.25,M1097547178,0,0,0,0
2484115,204,CASH_OUT,250691.92,C1357079255,0,0,C1812125560,1229095.87,1479787.79,0,0
4857671,348,PAYMENT,16016.44,C1785691311,73632.07,57615.63,M205634388,0,0,0,0
321628,16,CASH_IN,117429.22,C2016711493,15996883.84,16114313.07,C1902732876,1167536.11,1050106.89,0,0
3511778,259,CASH_IN,117206.63,C594741874,43981,161187.63,C110871845,468368.97,351162.33,0,0
1059725,119,CASH_OUT,298763.27,C2113575195,632,0,C1583641828,0,298763.27,0,0
5846752,402,PAYMENT,9479.15,C755790146,58564.73,49085.58,M1190920941,0,0,0,0
398392,18,CASH_IN,616784.74,C711692411,1084956.99,1701741.73,C1245478626,1677679.99,1287069.67,0,0
2359101,190,CASH_OUT,7446.98,C399170970,48788,41341.02,C587145762,0,7446.98,0,0
4834744,347,PAYMENT,38407.29,C538980894,0,0,M1122876128,0,0,0,0
5492357,380,TRANSFER,143942.16,C1202416843,129806,0,C1811064402,0,143942.16,0,0
282928,15,CASH_IN,3252.71,C506493743,7862268.93,7865521.64,C587976154,664033.03,347840.46,0,0
1688543,159,CASH_OUT,282576.24,C1151312152,0,0,C274698176,293800.69,576376.93,0,0
4795445,345,DEBIT,5272.49,C833934754,152124,146851.51,C1748639412,937021.96,942294.44,0,0
4531014,326,CASH_OUT,50486.26,C83417611,33359,0,C1807895443,44560.4,95046.67,0,0
921387,43,TRANSFER,77836.61,C1143990323,153306,75469.39,C1461120209,0,77836.61,0,0
3867687,283,PAYMENT,8796.79,C4833527,0,0,M1921687723,0,0,0,0
531530,20,CASH_OUT,182106.4,C1006262483,14493.46,0,C100836936,3967016.76,4149123.16,0,0
4226726,306,CASH_OUT,35358.48,C337609154,0,0,C1002895487,269957.21,305315.69,0,0
3445600,257,TRANSFER,50796.91,C2057669824,0,0,C588788782,4206699.52,4257496.43,0,0
5571659,393,PAYMENT,20873.23,C2066467986,0,0,M482543228,0,0,0,0
2308291,188,TRANSFER,1255.67,C1818312592,0,0,C1089829295,186929.2,188184.87,0,0
3537395,260,PAYMENT,1728.99,C743709971,115999,114270.01,M1319234865,0,0,0,0
1068255,120,PAYMENT,2742.41,C91721147,643,0,M1718665379,0,0,0,0
332228,16,PAYMENT,14370.93,C498568213,29761,15390.07,M1780083404,0,0,0,0
4295324,307,CASH_OUT,205813.18,C983349209,0,0,C1742692303,356694.67,562507.84,0,0
3913717,284,CASH_OUT,131940.76,C488967786,0,0,C2038756650,212475.18,344415.94,0,0
206317,13,PAYMENT,17955.04,C1185850194,80297.54,62342.5,M551264488,0,0,0,0
3984785,298,CASH_OUT,399392.34,C634467375,0,0,C1892264667,1319552.13,1718944.48,0,0
3780418,280,CASH_IN,149223.41,C1978626976,988808.44,1138031.85,C567913550,11599416.74,11450193.34,0,0
5399958,377,CASH_IN,257845.23,C2039304493,504157,762002.23,C1924596326,0,0,0,0
1286415,135,CASH_OUT,20415.47,C809125090,25415,4999.53,C1479614331,66189.4,86604.88,0,0
1196128,132,CASH_OUT,410983.99,C1812652415,10103,0,C276572493,0,410983.99,0,0
4134966,303,CASH_OUT,83826.67,C25404323,6140,0,C2058857936,0,83826.67,0,0
906032,43,PAYMENT,11905.77,C369188281,73356.86,61451.09,M622807236,0,0,0,0
6036317,476,TRANSFER,103881.53,C1024959624,0,0,C933010384,158948.09,262829.61,0,0
1442106,140,CASH_OUT,107332.71,C1931971469,23986.25,0,C429477417,1387835.01,1495167.73,0,0
3283718,252,CASH_OUT,45328.02,C307060467,0,0,C416472014,196692.69,242020.71,0,0
4361334,309,PAYMENT,2527.7,C106358268,0,0,M1563144337,0,0,0,0
5325817,374,CASH_IN,26971.83,C1817497202,6815854.9,6842826.73,C431003964,138613.87,111642.04,0,0
3335034,253,CASH_OUT,99814.81,C1939943846,0,0,C213074139,173747.71,273562.52,0,0
4855851,347,CASH_OUT,52951.67,C219947038,0,0,C1695010554,280367.34,333319,0,0
3932221,285,CASH_IN,25396.87,C1865439193,32364,57760.87,C1814323854,349025.14,323628.28,0,0
3651194,275,TRANSFER,2720552.73,C1090652125,0,0,C2100359493,4756429.77,7476982.5,0,0
2763468,213,CASH_OUT,61773.38,C1462470842,0,0,C1150565517,751952.58,813725.96,0,0
6343204,692,PAYMENT,7333.57,C691406002,0,0,M1683994148,0,0,0,0
6122201,540,CASH_OUT,9845.62,C1532520779,1436,0,C835774472,0,9845.62,0,0
2450973,203,CASH_IN,139478.93,C1366964839,3560446.22,3699925.15,C509664487,7879308.47,7739829.54,0,0
1225217,133,PAYMENT,31999.01,C15054273,0,0,M249304976,0,0,0,0
4245030,306,PAYMENT,27739.86,C1367357638,38972,11232.14,M361567534,0,0,0,0
861705,42,PAYMENT,2655.26,C480877778,0,0,M1332126610,0,0,0,0
1287086,135,PAYMENT,15623.02,C561323396,142966.46,127343.44,M728716929,0,0,0,0
6143886,545,CASH_IN,187416.41,C1971034622,422834.41,610250.83,C1608593830,216892.4,29475.98,0,0
6162307,550,CASH_IN,81635.34,C705256475,443975.82,525611.16,C1702868825,268293.27,186657.93,0,0
